row_id,order_id,order_date,ship_date,ship_mode,customer_id,postal_code,product_id,sales,quantity,discount,profit,shipping_duration_days,unit_price,unit_cost,profit_margin_pct,is_profitable,discount_bracket
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,76106,OFF-AP-10002311,68.81,5,0.8,-123.858,4,13.76,38.53,-180.0,0,High Discount (>50%)
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,76106,OFF-BI-10000756,2.544,3,0.8,-3.816,4,0.85,2.12,-150.0,0,High Discount (>50%)
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,53711,OFF-ST-10004186,665.88,6,0.0,13.3176,7,110.98,108.76,2.0,1,No Discount (0%)
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,84084,OFF-ST-10000107,55.5,2,0.0,9.99,2,27.75,22.76,18.0,1,No Discount (0%)
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,94109,OFF-AR-10003056,8.56,2,0.0,2.4824,5,4.28,3.04,29.0,1,No Discount (0%)
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,94109,TEC-PH-10001949,213.48,3,0.2,16.011,5,71.16,65.82,7.5,1,Low Discount (1-20%)
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,94109,OFF-BI-10002215,22.72,4,0.2,7.384,5,5.68,3.83,32.5,1,Low Discount (1-20%)
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,68025,OFF-AR-10000246,19.46,7,0.0,5.0596,4,2.78,2.06,26.0,1,No Discount (0%)
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,68025,OFF-AP-10001492,60.34,7,0.0,15.6884,4,8.62,6.38,26.0,1,No Discount (0%)
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,19140,FUR-CH-10002774,71.372,2,0.3,-1.0196,2,35.69,36.2,-1.43,0,Medium Discount (21-50%)
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,84057,FUR-TA-10000577,1044.63,3,0.0,240.2649,5,348.21,268.12,23.0,1,No Discount (0%)
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,90049,OFF-BI-10001634,11.648,2,0.2,4.2224,4,5.82,3.71,36.25,1,Low Discount (1-20%)
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,90049,TEC-AC-10003027,90.57,3,0.0,11.7741,4,30.19,26.27,13.0,1,No Discount (0%)
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,4,440.49,678.35,-54.0,0,Medium Discount (21-50%)
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140,OFF-BI-10000474,9.618,2,0.7,-7.0532,4,4.81,8.34,-73.33,0,High Discount (>50%)
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140,FUR-FU-10004848,124.2,3,0.2,15.525,4,41.4,36.22,12.5,1,Low Discount (1-20%)
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140,OFF-EN-10001509,3.264,2,0.2,1.1016,4,1.63,1.08,33.75,1,Low Discount (1-20%)
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140,OFF-AR-10004042,86.304,6,0.2,9.7092,4,14.38,12.77,11.25,1,Low Discount (1-20%)
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140,OFF-BI-10001525,6.858,6,0.7,-5.715,4,1.14,2.1,-83.33,0,High Discount (>50%)
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,19140,OFF-AR-10001683,15.76,2,0.2,3.546,4,7.88,6.11,22.5,1,Low Discount (1-20%)
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,77095,OFF-PA-10000249,29.472,3,0.2,9.9468,4,9.82,6.51,33.75,1,Low Discount (1-20%)
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,75080,TEC-PH-10004977,1097.544,7,0.2,123.4737,2,156.79,139.15,11.25,1,Low Discount (1-20%)
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,75080,FUR-FU-10003664,190.92,5,0.6,-147.963,2,38.18,67.78,-77.5,0,High Discount (>50%)
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,77041,OFF-EN-10002986,113.328,9,0.2,35.415,4,12.59,8.66,31.25,1,Low Discount (1-20%)
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,77041,FUR-BO-10002545,532.3992,3,0.32,-46.9764,4,177.47,193.13,-8.82,0,Medium Discount (21-50%)
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,77041,FUR-CH-10004218,212.058,3,0.3,-15.147,4,70.69,75.74,-7.14,0,Medium Discount (21-50%)
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,77041,TEC-PH-10000486,371.168,4,0.2,41.7564,4,92.79,82.35,11.25,1,Low Discount (1-20%)
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,60540,TEC-PH-10004093,147.168,4,0.2,16.5564,5,36.79,32.65,11.25,1,Low Discount (1-20%)
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,90049,OFF-ST-10003479,77.88,2,0.0,3.894,5,38.94,36.99,5.0,1,No Discount (0%)
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,32935,OFF-ST-10003282,95.616,2,0.2,9.5616,4,47.81,43.03,10.0,1,Low Discount (1-20%)
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,55122,TEC-AC-10000171,45.98,2,0.0,19.7714,2,22.99,13.1,43.0,1,No Discount (0%)
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,55122,OFF-BI-10003291,17.46,2,0.0,8.2062,2,8.73,4.63,47.0,1,No Discount (0%)
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,48185,OFF-ST-10001713,211.96,4,0.0,8.4784,5,52.99,50.87,4.0,1,No Discount (0%)
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,19901,TEC-AC-10002167,45.0,3,0.0,4.95,5,15.0,13.35,11.0,1,No Discount (0%)
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,19901,TEC-PH-10003988,21.8,2,0.0,6.104,5,10.9,7.85,28.0,1,No Discount (0%)
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,47150,OFF-BI-10004410,38.22,6,0.0,17.9634,4,6.37,3.38,47.0,1,No Discount (0%)
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,47150,OFF-LA-10002762,75.18,6,0.0,35.3346,4,12.53,6.64,47.0,1,No Discount (0%)
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,47150,FUR-FU-10001706,6.16,2,0.0,2.9568,4,3.08,1.6,48.0,1,No Discount (0%)
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,47150,FUR-CH-10003061,89.99,1,0.0,17.0981,4,89.99,72.89,19.0,1,No Discount (0%)
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,10024,OFF-FA-10000304,15.26,7,0.0,6.2566,6,2.18,1.29,41.0,1,No Discount (0%)
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,10024,TEC-PH-10002447,1029.95,5,0.0,298.6855,6,205.99,146.25,29.0,1,No Discount (0%)
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180,OFF-ST-10000604,208.56,6,0.0,52.14,1,34.76,26.07,25.0,1,No Discount (0%)
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180,OFF-PA-10001569,32.4,5,0.0,15.552,1,6.48,3.37,48.0,1,No Discount (0%)
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180,FUR-CH-10003968,319.41,5,0.1,7.098,1,63.88,62.46,2.22,1,Low Discount (1-20%)
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180,OFF-PA-10000587,14.56,2,0.0,6.9888,1,7.28,3.79,48.0,1,No Discount (0%)
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180,TEC-AC-10002167,30.0,2,0.0,3.3,1,15.0,13.35,11.0,1,No Discount (0%)
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180,OFF-BI-10001460,48.48,4,0.2,16.362,1,12.12,8.03,33.75,1,Low Discount (1-20%)
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,12180,OFF-AR-10001868,1.68,1,0.0,0.84,1,1.68,0.84,50.0,1,No Discount (0%)
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,90004,TEC-AC-10004633,13.98,2,0.0,6.1512,6,6.99,3.91,44.0,1,No Discount (0%)
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,90004,OFF-BI-10001078,25.824,6,0.2,9.3612,6,4.3,2.74,36.25,1,Low Discount (1-20%)
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,90004,OFF-PA-10003892,146.73,3,0.0,68.9631,6,48.91,25.92,47.0,1,No Discount (0%)
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,90004,FUR-FU-10000397,79.76,4,0.0,22.3328,6,19.94,14.36,28.0,1,No Discount (0%)
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,60610,FUR-CH-10001146,213.115,5,0.3,-15.2225,5,42.62,45.67,-7.14,0,Medium Discount (21-50%)
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,85234,OFF-AR-10002671,1113.024,8,0.2,111.3024,5,139.13,125.22,10.0,1,Low Discount (1-20%)
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,85234,TEC-PH-10002726,167.968,4,0.2,62.988,5,41.99,26.24,37.5,1,Low Discount (1-20%)
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,22153,OFF-PA-10000482,75.88,2,0.0,35.6636,2,37.94,20.11,47.0,1,No Discount (0%)
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,10009,OFF-BI-10004654,4.616,1,0.2,1.731,5,4.62,2.88,37.5,1,Low Discount (1-20%)
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,49201,OFF-PA-10004675,19.05,3,0.0,8.763,3,6.35,3.43,46.0,1,No Discount (0%)
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,38109,FUR-CH-10000513,831.936,8,0.2,-114.3912,6,103.99,118.29,-13.75,0,Low Discount (1-20%)
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,38109,FUR-FU-10003708,97.04,2,0.2,1.213,6,48.52,47.91,1.25,1,Low Discount (1-20%)
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,38109,OFF-ST-10004123,72.784,1,0.2,-18.196,6,72.78,90.98,-25.0,0,Low Discount (1-20%)
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,77041,OFF-BI-10004182,1.248,3,0.8,-1.9344,2,0.42,1.06,-155.0,0,High Discount (>50%)
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,77041,FUR-FU-10000260,9.708,3,0.6,-5.8248,2,3.24,5.18,-60.0,0,High Discount (>50%)
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,77041,OFF-ST-10000615,27.24,3,0.2,2.724,2,9.08,8.17,10.0,1,Low Discount (1-20%)
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,77070,FUR-FU-10003194,19.3,5,0.6,-14.475,5,3.86,6.76,-75.0,0,High Discount (>50%)
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,35601,OFF-AP-10002118,208.16,1,0.0,56.2032,3,208.16,151.96,27.0,1,No Discount (0%)
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,35601,OFF-BI-10002309,16.74,3,0.0,8.0352,3,5.58,2.9,48.0,1,No Discount (0%)
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,94122,OFF-AR-10002053,14.9,5,0.0,4.172,4,2.98,2.15,28.0,1,No Discount (0%)
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,94122,OFF-ST-10002370,21.39,1,0.0,6.2031,4,21.39,15.19,29.0,1,No Discount (0%)
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,27707,OFF-EN-10000927,200.984,7,0.2,62.8075,5,28.71,19.74,31.25,1,Low Discount (1-20%)
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,60623,OFF-ST-10003656,230.376,3,0.2,-48.9549,3,76.79,93.11,-21.25,0,Low Discount (1-20%)
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,29203,FUR-CH-10000863,301.96,2,0.0,33.2156,2,150.98,134.37,11.0,1,No Discount (0%)
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,55901,TEC-AC-10001998,19.99,1,0.0,6.7966,7,19.99,13.19,34.0,1,No Discount (0%)
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,55901,OFF-LA-10000134,6.16,2,0.0,2.9568,7,3.08,1.6,48.0,1,No Discount (0%)
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,77095,OFF-ST-10003442,158.368,7,0.2,13.8572,5,22.62,20.64,8.75,1,Low Discount (1-20%)
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,90036,OFF-AR-10004930,20.1,3,0.0,6.633,5,6.7,4.49,33.0,1,No Discount (0%)
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,90036,TEC-PH-10004093,73.584,2,0.2,8.2782,5,36.79,32.65,11.25,1,Low Discount (1-20%)
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,90036,OFF-PA-10000304,6.48,1,0.0,3.1104,5,6.48,3.37,48.0,1,No Discount (0%)
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,55407,OFF-PA-10003177,12.96,2,0.0,6.2208,5,6.48,3.37,48.0,1,No Discount (0%)
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,55407,FUR-FU-10003799,53.34,3,0.0,16.5354,5,17.78,12.27,31.0,1,No Discount (0%)
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,55407,OFF-BI-10002852,32.96,2,0.0,16.1504,5,16.48,8.4,49.0,1,No Discount (0%)
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,97206,OFF-BI-10004738,5.682,1,0.7,-3.788,6,5.68,9.47,-66.67,0,High Discount (>50%)
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,10009,FUR-FU-10000629,96.53,7,0.0,40.5426,2,13.79,8.0,42.0,1,No Discount (0%)
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,94122,OFF-BI-10001721,51.312,3,0.2,17.9592,3,17.1,11.12,35.0,1,Low Discount (1-20%)
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,55106,OFF-AP-10000358,77.88,6,0.0,22.5852,5,12.98,9.22,29.0,1,No Discount (0%)
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,60610,OFF-PA-10003256,64.624,7,0.2,22.6184,4,9.23,6.0,35.0,1,Low Discount (1-20%)
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,60610,TEC-AC-10001767,95.976,3,0.2,-10.7973,4,31.99,35.59,-11.25,0,Low Discount (1-20%)
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,60610,OFF-BI-10002609,1.788,3,0.8,-3.0396,4,0.6,1.61,-170.0,0,High Discount (>50%)
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,55901,OFF-PA-10004040,23.92,4,0.0,11.7208,3,5.98,3.05,49.0,1,No Discount (0%)
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,80013,TEC-AC-10001552,238.896,6,0.2,-26.8758,4,39.82,44.3,-11.25,0,Low Discount (1-20%)
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,80013,FUR-FU-10004006,102.36,3,0.2,-3.8385,4,34.12,35.4,-3.75,0,Low Discount (1-20%)
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,80013,OFF-BI-10002794,36.882,3,0.7,-25.8174,4,12.29,20.9,-70.0,0,High Discount (>50%)
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,28205,TEC-AC-10003499,74.112,8,0.2,17.6016,5,9.26,7.06,23.75,1,Low Discount (1-20%)
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,28205,TEC-PH-10002844,27.992,1,0.2,2.0994,5,27.99,25.89,7.5,1,Low Discount (1-20%)
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,28205,OFF-AR-10000390,3.304,1,0.2,1.0738,5,3.3,2.23,32.5,1,Low Discount (1-20%)
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,60462,TEC-AC-10000844,339.96,5,0.2,67.992,5,67.99,54.39,20.0,1,Low Discount (1-20%)
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,10035,FUR-FU-10001934,41.96,2,0.0,10.9096,5,20.98,15.53,26.0,1,No Discount (0%)
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,50322,OFF-AR-10000380,75.96,2,0.0,22.788,7,37.98,26.59,30.0,1,No Discount (0%)
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,50322,OFF-BI-10003981,27.24,6,0.0,13.3476,7,4.54,2.32,49.0,1,No Discount (0%)
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,43229,OFF-FA-10000621,40.096,14,0.2,14.5348,2,2.86,1.83,36.25,1,Low Discount (1-20%)
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,43229,OFF-EN-10002600,4.72,2,0.2,1.652,2,2.36,1.53,35.0,1,Low Discount (1-20%)
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,43229,OFF-PA-10004965,23.976,3,0.2,7.4925,2,7.99,5.49,31.25,1,Low Discount (1-20%)
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,43229,OFF-EN-10002504,130.464,6,0.2,44.0316,2,21.74,14.41,33.75,1,Low Discount (1-20%)
118,CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,98103,FUR-TA-10001768,787.53,3,0.0,165.3813,4,262.51,207.38,21.0,1,No Discount (0%)
119,US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,37620,OFF-BI-10003650,157.794,1,0.7,-115.7156,5,157.79,273.51,-73.33,0,High Discount (>50%)
120,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,19805,FUR-FU-10002157,47.04,3,0.0,18.3456,3,15.68,9.56,39.0,1,No Discount (0%)
121,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,19805,OFF-BI-10003910,30.84,4,0.0,13.878,3,7.71,4.24,45.0,1,No Discount (0%)
122,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,19805,OFF-ST-10000777,226.56,6,0.0,63.4368,3,37.76,27.19,28.0,1,No Discount (0%)
123,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,19805,OFF-EN-10002500,115.02,9,0.0,51.759,3,12.78,7.03,45.0,1,No Discount (0%)
124,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,19805,TEC-PH-10003875,68.04,7,0.0,19.7316,3,9.72,6.9,29.0,1,No Discount (0%)
125,US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,77041,FUR-CH-10004063,600.558,3,0.3,-8.5794,2,200.19,203.05,-1.43,0,Medium Discount (21-50%)
126,US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,61701,FUR-TA-10004534,617.7,6,0.5,-407.682,5,102.95,170.9,-66.0,0,Medium Discount (21-50%)
127,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,85023,OFF-BI-10003274,2.388,2,0.7,-1.8308,7,1.19,2.11,-76.67,0,High Discount (>50%)
128,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,85023,OFF-ST-10002974,243.992,7,0.2,30.499,7,34.86,30.5,12.5,1,Low Discount (1-20%)
129,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,90004,FUR-CH-10001146,81.424,2,0.2,-9.1602,4,40.71,45.29,-11.25,0,Low Discount (1-20%)
130,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,90004,FUR-FU-10003773,238.56,3,0.0,26.2416,4,79.52,70.77,11.0,1,No Discount (0%)
131,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,43229,TEC-PH-10002293,59.97,5,0.4,-11.994,3,11.99,14.39,-20.0,0,Medium Discount (21-50%)
132,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,43229,OFF-PA-10002377,78.304,2,0.2,29.364,3,39.15,24.47,37.5,1,Low Discount (1-20%)
133,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,43229,OFF-FA-10002780,21.456,9,0.2,6.9732,3,2.38,1.61,32.5,1,Low Discount (1-20%)
134,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661,OFF-PA-10001804,20.04,3,0.0,9.6192,6,6.68,3.47,48.0,1,No Discount (0%)
135,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661,OFF-PA-10001736,35.44,1,0.0,16.6568,6,35.44,18.78,47.0,1,No Discount (0%)
136,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661,OFF-AR-10001149,11.52,4,0.0,3.456,6,2.88,2.02,30.0,1,No Discount (0%)
137,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661,OFF-FA-10002988,4.02,2,0.0,1.9698,6,2.01,1.03,49.0,1,No Discount (0%)
138,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661,OFF-BI-10004781,76.176,3,0.2,26.6616,6,25.39,16.5,35.0,1,Low Discount (1-20%)
139,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661,OFF-SU-10001218,65.88,6,0.0,18.4464,6,10.98,7.91,28.0,1,No Discount (0%)
140,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661,FUR-FU-10001706,43.12,14,0.0,20.6976,6,3.08,1.6,48.0,1,No Discount (0%)
141,CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,19140,FUR-FU-10004848,82.8,2,0.2,10.35,2,41.4,36.22,12.5,1,Low Discount (1-20%)
142,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,94122,OFF-AR-10000940,8.82,3,0.0,2.3814,5,2.94,2.15,27.0,1,No Discount (0%)
143,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,94122,OFF-EN-10004030,10.86,3,0.0,5.1042,5,3.62,1.92,47.0,1,No Discount (0%)
144,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,94122,OFF-PA-10004327,143.7,3,0.0,68.976,5,47.9,24.91,48.0,1,No Discount (0%)
145,CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,64055,OFF-AP-10001058,839.43,3,0.0,218.2518,5,279.81,207.06,26.0,1,No Discount (0%)
146,CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,91104,OFF-ST-10003656,671.93,7,0.0,20.1579,5,95.99,93.11,3.0,1,No Discount (0%)
147,CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,43055,FUR-FU-10000521,93.888,4,0.2,12.9096,6,23.47,20.24,13.75,1,Low Discount (1-20%)
148,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,53132,TEC-PH-10000215,384.45,11,0.0,103.8015,4,34.95,25.51,27.0,1,No Discount (0%)
149,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,53132,TEC-PH-10001448,149.97,3,0.0,5.9988,4,49.99,47.99,4.0,1,No Discount (0%)
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,53132,FUR-CH-10000454,1951.84,8,0.0,585.552,4,243.98,170.79,30.0,1,No Discount (0%)
