date,date_key,year,quarter,year_quarter,month_number,month,month_short,year_month,week_number,day,day_of_week,day_of_week_num,is_weekend
2014-02-10,20140210,2014,Q1,2014-Q1,2,February,Feb,2014-02,7,10,Monday,1,0
2014-02-11,20140211,2014,Q1,2014-Q1,2,February,Feb,2014-02,7,11,Tuesday,2,0
2014-02-12,20140212,2014,Q1,2014-Q1,2,February,Feb,2014-02,7,12,Wednesday,3,0
2014-02-13,20140213,2014,Q1,2014-Q1,2,February,Feb,2014-02,7,13,Thursday,4,0
2014-02-14,20140214,2014,Q1,2014-Q1,2,February,Feb,2014-02,7,14,Friday,5,0
2014-02-15,20140215,2014,Q1,2014-Q1,2,February,Feb,2014-02,7,15,Saturday,6,1
2014-02-16,20140216,2014,Q1,2014-Q1,2,February,Feb,2014-02,7,16,Sunday,7,1
2014-02-17,20140217,2014,Q1,2014-Q1,2,February,Feb,2014-02,8,17,Monday,1,0
2014-02-18,20140218,2014,Q1,2014-Q1,2,February,Feb,2014-02,8,18,Tuesday,2,0
2014-02-19,20140219,2014,Q1,2014-Q1,2,February,Feb,2014-02,8,19,Wednesday,3,0
2014-02-20,20140220,2014,Q1,2014-Q1,2,February,Feb,2014-02,8,20,Thursday,4,0
2014-02-21,20140221,2014,Q1,2014-Q1,2,February,Feb,2014-02,8,21,Friday,5,0
2014-02-22,20140222,2014,Q1,2014-Q1,2,February,Feb,2014-02,8,22,Saturday,6,1
2014-02-23,20140223,2014,Q1,2014-Q1,2,February,Feb,2014-02,8,23,Sunday,7,1
2014-02-24,20140224,2014,Q1,2014-Q1,2,February,Feb,2014-02,9,24,Monday,1,0
2014-02-25,20140225,2014,Q1,2014-Q1,2,February,Feb,2014-02,9,25,Tuesday,2,0
2014-02-26,20140226,2014,Q1,2014-Q1,2,February,Feb,2014-02,9,26,Wednesday,3,0
2014-02-27,20140227,2014,Q1,2014-Q1,2,February,Feb,2014-02,9,27,Thursday,4,0
2014-02-28,20140228,2014,Q1,2014-Q1,2,February,Feb,2014-02,9,28,Friday,5,0
2014-03-01,20140301,2014,Q1,2014-Q1,3,March,Mar,2014-03,9,1,Saturday,6,1
2014-03-02,20140302,2014,Q1,2014-Q1,3,March,Mar,2014-03,9,2,Sunday,7,1
2014-03-03,20140303,2014,Q1,2014-Q1,3,March,Mar,2014-03,10,3,Monday,1,0
2014-03-04,20140304,2014,Q1,2014-Q1,3,March,Mar,2014-03,10,4,Tuesday,2,0
2014-03-05,20140305,2014,Q1,2014-Q1,3,March,Mar,2014-03,10,5,Wednesday,3,0
2014-03-06,20140306,2014,Q1,2014-Q1,3,March,Mar,2014-03,10,6,Thursday,4,0
2014-03-07,20140307,2014,Q1,2014-Q1,3,March,Mar,2014-03,10,7,Friday,5,0
2014-03-08,20140308,2014,Q1,2014-Q1,3,March,Mar,2014-03,10,8,Saturday,6,1
2014-03-09,20140309,2014,Q1,2014-Q1,3,March,Mar,2014-03,10,9,Sunday,7,1
2014-03-10,20140310,2014,Q1,2014-Q1,3,March,Mar,2014-03,11,10,Monday,1,0
2014-03-11,20140311,2014,Q1,2014-Q1,3,March,Mar,2014-03,11,11,Tuesday,2,0
2014-03-12,20140312,2014,Q1,2014-Q1,3,March,Mar,2014-03,11,12,Wednesday,3,0
2014-03-13,20140313,2014,Q1,2014-Q1,3,March,Mar,2014-03,11,13,Thursday,4,0
2014-03-14,20140314,2014,Q1,2014-Q1,3,March,Mar,2014-03,11,14,Friday,5,0
2014-03-15,20140315,2014,Q1,2014-Q1,3,March,Mar,2014-03,11,15,Saturday,6,1
2014-03-16,20140316,2014,Q1,2014-Q1,3,March,Mar,2014-03,11,16,Sunday,7,1
2014-03-17,20140317,2014,Q1,2014-Q1,3,March,Mar,2014-03,12,17,Monday,1,0
2014-03-18,20140318,2014,Q1,2014-Q1,3,March,Mar,2014-03,12,18,Tuesday,2,0
2014-03-19,20140319,2014,Q1,2014-Q1,3,March,Mar,2014-03,12,19,Wednesday,3,0
2014-03-20,20140320,2014,Q1,2014-Q1,3,March,Mar,2014-03,12,20,Thursday,4,0
2014-03-21,20140321,2014,Q1,2014-Q1,3,March,Mar,2014-03,12,21,Friday,5,0
2014-03-22,20140322,2014,Q1,2014-Q1,3,March,Mar,2014-03,12,22,Saturday,6,1
2014-03-23,20140323,2014,Q1,2014-Q1,3,March,Mar,2014-03,12,23,Sunday,7,1
2014-03-24,20140324,2014,Q1,2014-Q1,3,March,Mar,2014-03,13,24,Monday,1,0
2014-03-25,20140325,2014,Q1,2014-Q1,3,March,Mar,2014-03,13,25,Tuesday,2,0
2014-03-26,20140326,2014,Q1,2014-Q1,3,March,Mar,2014-03,13,26,Wednesday,3,0
2014-03-27,20140327,2014,Q1,2014-Q1,3,March,Mar,2014-03,13,27,Thursday,4,0
2014-03-28,20140328,2014,Q1,2014-Q1,3,March,Mar,2014-03,13,28,Friday,5,0
2014-03-29,20140329,2014,Q1,2014-Q1,3,March,Mar,2014-03,13,29,Saturday,6,1
2014-03-30,20140330,2014,Q1,2014-Q1,3,March,Mar,2014-03,13,30,Sunday,7,1
2014-03-31,20140331,2014,Q1,2014-Q1,3,March,Mar,2014-03,14,31,Monday,1,0
2014-04-01,20140401,2014,Q2,2014-Q2,4,April,Apr,2014-04,14,1,Tuesday,2,0
2014-04-02,20140402,2014,Q2,2014-Q2,4,April,Apr,2014-04,14,2,Wednesday,3,0
2014-04-03,20140403,2014,Q2,2014-Q2,4,April,Apr,2014-04,14,3,Thursday,4,0
2014-04-04,20140404,2014,Q2,2014-Q2,4,April,Apr,2014-04,14,4,Friday,5,0
2014-04-05,20140405,2014,Q2,2014-Q2,4,April,Apr,2014-04,14,5,Saturday,6,1
2014-04-06,20140406,2014,Q2,2014-Q2,4,April,Apr,2014-04,14,6,Sunday,7,1
2014-04-07,20140407,2014,Q2,2014-Q2,4,April,Apr,2014-04,15,7,Monday,1,0
2014-04-08,20140408,2014,Q2,2014-Q2,4,April,Apr,2014-04,15,8,Tuesday,2,0
2014-04-09,20140409,2014,Q2,2014-Q2,4,April,Apr,2014-04,15,9,Wednesday,3,0
2014-04-10,20140410,2014,Q2,2014-Q2,4,April,Apr,2014-04,15,10,Thursday,4,0
2014-04-11,20140411,2014,Q2,2014-Q2,4,April,Apr,2014-04,15,11,Friday,5,0
2014-04-12,20140412,2014,Q2,2014-Q2,4,April,Apr,2014-04,15,12,Saturday,6,1
2014-04-13,20140413,2014,Q2,2014-Q2,4,April,Apr,2014-04,15,13,Sunday,7,1
2014-04-14,20140414,2014,Q2,2014-Q2,4,April,Apr,2014-04,16,14,Monday,1,0
2014-04-15,20140415,2014,Q2,2014-Q2,4,April,Apr,2014-04,16,15,Tuesday,2,0
2014-04-16,20140416,2014,Q2,2014-Q2,4,April,Apr,2014-04,16,16,Wednesday,3,0
2014-04-17,20140417,2014,Q2,2014-Q2,4,April,Apr,2014-04,16,17,Thursday,4,0
2014-04-18,20140418,2014,Q2,2014-Q2,4,April,Apr,2014-04,16,18,Friday,5,0
2014-04-19,20140419,2014,Q2,2014-Q2,4,April,Apr,2014-04,16,19,Saturday,6,1
2014-04-20,20140420,2014,Q2,2014-Q2,4,April,Apr,2014-04,16,20,Sunday,7,1
2014-04-21,20140421,2014,Q2,2014-Q2,4,April,Apr,2014-04,17,21,Monday,1,0
2014-04-22,20140422,2014,Q2,2014-Q2,4,April,Apr,2014-04,17,22,Tuesday,2,0
2014-04-23,20140423,2014,Q2,2014-Q2,4,April,Apr,2014-04,17,23,Wednesday,3,0
2014-04-24,20140424,2014,Q2,2014-Q2,4,April,Apr,2014-04,17,24,Thursday,4,0
2014-04-25,20140425,2014,Q2,2014-Q2,4,April,Apr,2014-04,17,25,Friday,5,0
2014-04-26,20140426,2014,Q2,2014-Q2,4,April,Apr,2014-04,17,26,Saturday,6,1
2014-04-27,20140427,2014,Q2,2014-Q2,4,April,Apr,2014-04,17,27,Sunday,7,1
2014-04-28,20140428,2014,Q2,2014-Q2,4,April,Apr,2014-04,18,28,Monday,1,0
2014-04-29,20140429,2014,Q2,2014-Q2,4,April,Apr,2014-04,18,29,Tuesday,2,0
2014-04-30,20140430,2014,Q2,2014-Q2,4,April,Apr,2014-04,18,30,Wednesday,3,0
2014-05-01,20140501,2014,Q2,2014-Q2,5,May,May,2014-05,18,1,Thursday,4,0
2014-05-02,20140502,2014,Q2,2014-Q2,5,May,May,2014-05,18,2,Friday,5,0
2014-05-03,20140503,2014,Q2,2014-Q2,5,May,May,2014-05,18,3,Saturday,6,1
2014-05-04,20140504,2014,Q2,2014-Q2,5,May,May,2014-05,18,4,Sunday,7,1
2014-05-05,20140505,2014,Q2,2014-Q2,5,May,May,2014-05,19,5,Monday,1,0
2014-05-06,20140506,2014,Q2,2014-Q2,5,May,May,2014-05,19,6,Tuesday,2,0
2014-05-07,20140507,2014,Q2,2014-Q2,5,May,May,2014-05,19,7,Wednesday,3,0
2014-05-08,20140508,2014,Q2,2014-Q2,5,May,May,2014-05,19,8,Thursday,4,0
2014-05-09,20140509,2014,Q2,2014-Q2,5,May,May,2014-05,19,9,Friday,5,0
2014-05-10,20140510,2014,Q2,2014-Q2,5,May,May,2014-05,19,10,Saturday,6,1
2014-05-11,20140511,2014,Q2,2014-Q2,5,May,May,2014-05,19,11,Sunday,7,1
2014-05-12,20140512,2014,Q2,2014-Q2,5,May,May,2014-05,20,12,Monday,1,0
2014-05-13,20140513,2014,Q2,2014-Q2,5,May,May,2014-05,20,13,Tuesday,2,0
2014-05-14,20140514,2014,Q2,2014-Q2,5,May,May,2014-05,20,14,Wednesday,3,0
2014-05-15,20140515,2014,Q2,2014-Q2,5,May,May,2014-05,20,15,Thursday,4,0
2014-05-16,20140516,2014,Q2,2014-Q2,5,May,May,2014-05,20,16,Friday,5,0
2014-05-17,20140517,2014,Q2,2014-Q2,5,May,May,2014-05,20,17,Saturday,6,1
2014-05-18,20140518,2014,Q2,2014-Q2,5,May,May,2014-05,20,18,Sunday,7,1
2014-05-19,20140519,2014,Q2,2014-Q2,5,May,May,2014-05,21,19,Monday,1,0
2014-05-20,20140520,2014,Q2,2014-Q2,5,May,May,2014-05,21,20,Tuesday,2,0
2014-05-21,20140521,2014,Q2,2014-Q2,5,May,May,2014-05,21,21,Wednesday,3,0
2014-05-22,20140522,2014,Q2,2014-Q2,5,May,May,2014-05,21,22,Thursday,4,0
2014-05-23,20140523,2014,Q2,2014-Q2,5,May,May,2014-05,21,23,Friday,5,0
2014-05-24,20140524,2014,Q2,2014-Q2,5,May,May,2014-05,21,24,Saturday,6,1
2014-05-25,20140525,2014,Q2,2014-Q2,5,May,May,2014-05,21,25,Sunday,7,1
2014-05-26,20140526,2014,Q2,2014-Q2,5,May,May,2014-05,22,26,Monday,1,0
2014-05-27,20140527,2014,Q2,2014-Q2,5,May,May,2014-05,22,27,Tuesday,2,0
2014-05-28,20140528,2014,Q2,2014-Q2,5,May,May,2014-05,22,28,Wednesday,3,0
2014-05-29,20140529,2014,Q2,2014-Q2,5,May,May,2014-05,22,29,Thursday,4,0
2014-05-30,20140530,2014,Q2,2014-Q2,5,May,May,2014-05,22,30,Friday,5,0
2014-05-31,20140531,2014,Q2,2014-Q2,5,May,May,2014-05,22,31,Saturday,6,1
2014-06-01,20140601,2014,Q2,2014-Q2,6,June,Jun,2014-06,22,1,Sunday,7,1
2014-06-02,20140602,2014,Q2,2014-Q2,6,June,Jun,2014-06,23,2,Monday,1,0
2014-06-03,20140603,2014,Q2,2014-Q2,6,June,Jun,2014-06,23,3,Tuesday,2,0
2014-06-04,20140604,2014,Q2,2014-Q2,6,June,Jun,2014-06,23,4,Wednesday,3,0
2014-06-05,20140605,2014,Q2,2014-Q2,6,June,Jun,2014-06,23,5,Thursday,4,0
2014-06-06,20140606,2014,Q2,2014-Q2,6,June,Jun,2014-06,23,6,Friday,5,0
2014-06-07,20140607,2014,Q2,2014-Q2,6,June,Jun,2014-06,23,7,Saturday,6,1
2014-06-08,20140608,2014,Q2,2014-Q2,6,June,Jun,2014-06,23,8,Sunday,7,1
2014-06-09,20140609,2014,Q2,2014-Q2,6,June,Jun,2014-06,24,9,Monday,1,0
2014-06-10,20140610,2014,Q2,2014-Q2,6,June,Jun,2014-06,24,10,Tuesday,2,0
2014-06-11,20140611,2014,Q2,2014-Q2,6,June,Jun,2014-06,24,11,Wednesday,3,0
2014-06-12,20140612,2014,Q2,2014-Q2,6,June,Jun,2014-06,24,12,Thursday,4,0
2014-06-13,20140613,2014,Q2,2014-Q2,6,June,Jun,2014-06,24,13,Friday,5,0
2014-06-14,20140614,2014,Q2,2014-Q2,6,June,Jun,2014-06,24,14,Saturday,6,1
2014-06-15,20140615,2014,Q2,2014-Q2,6,June,Jun,2014-06,24,15,Sunday,7,1
2014-06-16,20140616,2014,Q2,2014-Q2,6,June,Jun,2014-06,25,16,Monday,1,0
2014-06-17,20140617,2014,Q2,2014-Q2,6,June,Jun,2014-06,25,17,Tuesday,2,0
2014-06-18,20140618,2014,Q2,2014-Q2,6,June,Jun,2014-06,25,18,Wednesday,3,0
2014-06-19,20140619,2014,Q2,2014-Q2,6,June,Jun,2014-06,25,19,Thursday,4,0
2014-06-20,20140620,2014,Q2,2014-Q2,6,June,Jun,2014-06,25,20,Friday,5,0
2014-06-21,20140621,2014,Q2,2014-Q2,6,June,Jun,2014-06,25,21,Saturday,6,1
2014-06-22,20140622,2014,Q2,2014-Q2,6,June,Jun,2014-06,25,22,Sunday,7,1
2014-06-23,20140623,2014,Q2,2014-Q2,6,June,Jun,2014-06,26,23,Monday,1,0
2014-06-24,20140624,2014,Q2,2014-Q2,6,June,Jun,2014-06,26,24,Tuesday,2,0
2014-06-25,20140625,2014,Q2,2014-Q2,6,June,Jun,2014-06,26,25,Wednesday,3,0
2014-06-26,20140626,2014,Q2,2014-Q2,6,June,Jun,2014-06,26,26,Thursday,4,0
2014-06-27,20140627,2014,Q2,2014-Q2,6,June,Jun,2014-06,26,27,Friday,5,0
2014-06-28,20140628,2014,Q2,2014-Q2,6,June,Jun,2014-06,26,28,Saturday,6,1
2014-06-29,20140629,2014,Q2,2014-Q2,6,June,Jun,2014-06,26,29,Sunday,7,1
2014-06-30,20140630,2014,Q2,2014-Q2,6,June,Jun,2014-06,27,30,Monday,1,0
2014-07-01,20140701,2014,Q3,2014-Q3,7,July,Jul,2014-07,27,1,Tuesday,2,0
2014-07-02,20140702,2014,Q3,2014-Q3,7,July,Jul,2014-07,27,2,Wednesday,3,0
2014-07-03,20140703,2014,Q3,2014-Q3,7,July,Jul,2014-07,27,3,Thursday,4,0
2014-07-04,20140704,2014,Q3,2014-Q3,7,July,Jul,2014-07,27,4,Friday,5,0
2014-07-05,20140705,2014,Q3,2014-Q3,7,July,Jul,2014-07,27,5,Saturday,6,1
2014-07-06,20140706,2014,Q3,2014-Q3,7,July,Jul,2014-07,27,6,Sunday,7,1
2014-07-07,20140707,2014,Q3,2014-Q3,7,July,Jul,2014-07,28,7,Monday,1,0
2014-07-08,20140708,2014,Q3,2014-Q3,7,July,Jul,2014-07,28,8,Tuesday,2,0
2014-07-09,20140709,2014,Q3,2014-Q3,7,July,Jul,2014-07,28,9,Wednesday,3,0
2014-07-10,20140710,2014,Q3,2014-Q3,7,July,Jul,2014-07,28,10,Thursday,4,0
2014-07-11,20140711,2014,Q3,2014-Q3,7,July,Jul,2014-07,28,11,Friday,5,0
2014-07-12,20140712,2014,Q3,2014-Q3,7,July,Jul,2014-07,28,12,Saturday,6,1
2014-07-13,20140713,2014,Q3,2014-Q3,7,July,Jul,2014-07,28,13,Sunday,7,1
2014-07-14,20140714,2014,Q3,2014-Q3,7,July,Jul,2014-07,29,14,Monday,1,0
2014-07-15,20140715,2014,Q3,2014-Q3,7,July,Jul,2014-07,29,15,Tuesday,2,0
2014-07-16,20140716,2014,Q3,2014-Q3,7,July,Jul,2014-07,29,16,Wednesday,3,0
2014-07-17,20140717,2014,Q3,2014-Q3,7,July,Jul,2014-07,29,17,Thursday,4,0
2014-07-18,20140718,2014,Q3,2014-Q3,7,July,Jul,2014-07,29,18,Friday,5,0
2014-07-19,20140719,2014,Q3,2014-Q3,7,July,Jul,2014-07,29,19,Saturday,6,1
2014-07-20,20140720,2014,Q3,2014-Q3,7,July,Jul,2014-07,29,20,Sunday,7,1
2014-07-21,20140721,2014,Q3,2014-Q3,7,July,Jul,2014-07,30,21,Monday,1,0
2014-07-22,20140722,2014,Q3,2014-Q3,7,July,Jul,2014-07,30,22,Tuesday,2,0
2014-07-23,20140723,2014,Q3,2014-Q3,7,July,Jul,2014-07,30,23,Wednesday,3,0
2014-07-24,20140724,2014,Q3,2014-Q3,7,July,Jul,2014-07,30,24,Thursday,4,0
2014-07-25,20140725,2014,Q3,2014-Q3,7,July,Jul,2014-07,30,25,Friday,5,0
2014-07-26,20140726,2014,Q3,2014-Q3,7,July,Jul,2014-07,30,26,Saturday,6,1
2014-07-27,20140727,2014,Q3,2014-Q3,7,July,Jul,2014-07,30,27,Sunday,7,1
2014-07-28,20140728,2014,Q3,2014-Q3,7,July,Jul,2014-07,31,28,Monday,1,0
2014-07-29,20140729,2014,Q3,2014-Q3,7,July,Jul,2014-07,31,29,Tuesday,2,0
2014-07-30,20140730,2014,Q3,2014-Q3,7,July,Jul,2014-07,31,30,Wednesday,3,0
2014-07-31,20140731,2014,Q3,2014-Q3,7,July,Jul,2014-07,31,31,Thursday,4,0
2014-08-01,20140801,2014,Q3,2014-Q3,8,August,Aug,2014-08,31,1,Friday,5,0
2014-08-02,20140802,2014,Q3,2014-Q3,8,August,Aug,2014-08,31,2,Saturday,6,1
2014-08-03,20140803,2014,Q3,2014-Q3,8,August,Aug,2014-08,31,3,Sunday,7,1
2014-08-04,20140804,2014,Q3,2014-Q3,8,August,Aug,2014-08,32,4,Monday,1,0
2014-08-05,20140805,2014,Q3,2014-Q3,8,August,Aug,2014-08,32,5,Tuesday,2,0
2014-08-06,20140806,2014,Q3,2014-Q3,8,August,Aug,2014-08,32,6,Wednesday,3,0
2014-08-07,20140807,2014,Q3,2014-Q3,8,August,Aug,2014-08,32,7,Thursday,4,0
2014-08-08,20140808,2014,Q3,2014-Q3,8,August,Aug,2014-08,32,8,Friday,5,0
2014-08-09,20140809,2014,Q3,2014-Q3,8,August,Aug,2014-08,32,9,Saturday,6,1
2014-08-10,20140810,2014,Q3,2014-Q3,8,August,Aug,2014-08,32,10,Sunday,7,1
2014-08-11,20140811,2014,Q3,2014-Q3,8,August,Aug,2014-08,33,11,Monday,1,0
2014-08-12,20140812,2014,Q3,2014-Q3,8,August,Aug,2014-08,33,12,Tuesday,2,0
2014-08-13,20140813,2014,Q3,2014-Q3,8,August,Aug,2014-08,33,13,Wednesday,3,0
2014-08-14,20140814,2014,Q3,2014-Q3,8,August,Aug,2014-08,33,14,Thursday,4,0
2014-08-15,20140815,2014,Q3,2014-Q3,8,August,Aug,2014-08,33,15,Friday,5,0
2014-08-16,20140816,2014,Q3,2014-Q3,8,August,Aug,2014-08,33,16,Saturday,6,1
2014-08-17,20140817,2014,Q3,2014-Q3,8,August,Aug,2014-08,33,17,Sunday,7,1
2014-08-18,20140818,2014,Q3,2014-Q3,8,August,Aug,2014-08,34,18,Monday,1,0
2014-08-19,20140819,2014,Q3,2014-Q3,8,August,Aug,2014-08,34,19,Tuesday,2,0
2014-08-20,20140820,2014,Q3,2014-Q3,8,August,Aug,2014-08,34,20,Wednesday,3,0
2014-08-21,20140821,2014,Q3,2014-Q3,8,August,Aug,2014-08,34,21,Thursday,4,0
2014-08-22,20140822,2014,Q3,2014-Q3,8,August,Aug,2014-08,34,22,Friday,5,0
2014-08-23,20140823,2014,Q3,2014-Q3,8,August,Aug,2014-08,34,23,Saturday,6,1
2014-08-24,20140824,2014,Q3,2014-Q3,8,August,Aug,2014-08,34,24,Sunday,7,1
2014-08-25,20140825,2014,Q3,2014-Q3,8,August,Aug,2014-08,35,25,Monday,1,0
2014-08-26,20140826,2014,Q3,2014-Q3,8,August,Aug,2014-08,35,26,Tuesday,2,0
2014-08-27,20140827,2014,Q3,2014-Q3,8,August,Aug,2014-08,35,27,Wednesday,3,0
2014-08-28,20140828,2014,Q3,2014-Q3,8,August,Aug,2014-08,35,28,Thursday,4,0
2014-08-29,20140829,2014,Q3,2014-Q3,8,August,Aug,2014-08,35,29,Friday,5,0
2014-08-30,20140830,2014,Q3,2014-Q3,8,August,Aug,2014-08,35,30,Saturday,6,1
2014-08-31,20140831,2014,Q3,2014-Q3,8,August,Aug,2014-08,35,31,Sunday,7,1
2014-09-01,20140901,2014,Q3,2014-Q3,9,September,Sep,2014-09,36,1,Monday,1,0
2014-09-02,20140902,2014,Q3,2014-Q3,9,September,Sep,2014-09,36,2,Tuesday,2,0
2014-09-03,20140903,2014,Q3,2014-Q3,9,September,Sep,2014-09,36,3,Wednesday,3,0
2014-09-04,20140904,2014,Q3,2014-Q3,9,September,Sep,2014-09,36,4,Thursday,4,0
2014-09-05,20140905,2014,Q3,2014-Q3,9,September,Sep,2014-09,36,5,Friday,5,0
2014-09-06,20140906,2014,Q3,2014-Q3,9,September,Sep,2014-09,36,6,Saturday,6,1
2014-09-07,20140907,2014,Q3,2014-Q3,9,September,Sep,2014-09,36,7,Sunday,7,1
2014-09-08,20140908,2014,Q3,2014-Q3,9,September,Sep,2014-09,37,8,Monday,1,0
2014-09-09,20140909,2014,Q3,2014-Q3,9,September,Sep,2014-09,37,9,Tuesday,2,0
2014-09-10,20140910,2014,Q3,2014-Q3,9,September,Sep,2014-09,37,10,Wednesday,3,0
2014-09-11,20140911,2014,Q3,2014-Q3,9,September,Sep,2014-09,37,11,Thursday,4,0
2014-09-12,20140912,2014,Q3,2014-Q3,9,September,Sep,2014-09,37,12,Friday,5,0
2014-09-13,20140913,2014,Q3,2014-Q3,9,September,Sep,2014-09,37,13,Saturday,6,1
2014-09-14,20140914,2014,Q3,2014-Q3,9,September,Sep,2014-09,37,14,Sunday,7,1
2014-09-15,20140915,2014,Q3,2014-Q3,9,September,Sep,2014-09,38,15,Monday,1,0
2014-09-16,20140916,2014,Q3,2014-Q3,9,September,Sep,2014-09,38,16,Tuesday,2,0
2014-09-17,20140917,2014,Q3,2014-Q3,9,September,Sep,2014-09,38,17,Wednesday,3,0
2014-09-18,20140918,2014,Q3,2014-Q3,9,September,Sep,2014-09,38,18,Thursday,4,0
2014-09-19,20140919,2014,Q3,2014-Q3,9,September,Sep,2014-09,38,19,Friday,5,0
2014-09-20,20140920,2014,Q3,2014-Q3,9,September,Sep,2014-09,38,20,Saturday,6,1
2014-09-21,20140921,2014,Q3,2014-Q3,9,September,Sep,2014-09,38,21,Sunday,7,1
2014-09-22,20140922,2014,Q3,2014-Q3,9,September,Sep,2014-09,39,22,Monday,1,0
2014-09-23,20140923,2014,Q3,2014-Q3,9,September,Sep,2014-09,39,23,Tuesday,2,0
2014-09-24,20140924,2014,Q3,2014-Q3,9,September,Sep,2014-09,39,24,Wednesday,3,0
2014-09-25,20140925,2014,Q3,2014-Q3,9,September,Sep,2014-09,39,25,Thursday,4,0
2014-09-26,20140926,2014,Q3,2014-Q3,9,September,Sep,2014-09,39,26,Friday,5,0
2014-09-27,20140927,2014,Q3,2014-Q3,9,September,Sep,2014-09,39,27,Saturday,6,1
2014-09-28,20140928,2014,Q3,2014-Q3,9,September,Sep,2014-09,39,28,Sunday,7,1
2014-09-29,20140929,2014,Q3,2014-Q3,9,September,Sep,2014-09,40,29,Monday,1,0
2014-09-30,20140930,2014,Q3,2014-Q3,9,September,Sep,2014-09,40,30,Tuesday,2,0
2014-10-01,20141001,2014,Q4,2014-Q4,10,October,Oct,2014-10,40,1,Wednesday,3,0
2014-10-02,20141002,2014,Q4,2014-Q4,10,October,Oct,2014-10,40,2,Thursday,4,0
